"Facility ID","SMD Measure Description","SMD %","SMD Denominator","SMD Footnote","SUB-2/-2a Measure Description","SUB-2 %","SUB-2 Denominator","SUB-2 Footnote","SUB-2a %","SUB-2a Denominator","SUB-2a Footnote","SUB-3/-3a Measure Description","SUB-3 %","SUB-3 Denominator","SUB-3 Footnote","SUB-3a %","SUB-3a Denominator","SUB-3a Footnote","TOB-3/-3a Measure Description","TOB-3 %","TOB-3 Denominator","TOB-3 Footnote","TOB-3a %","TOB-3a Denominator","TOB-3a Footnote","TR-1 Measure Description","TR-1 %","TR-1 Denominator","TR-1 Footnote","Start Date","End Date","FAPH Measure Description","FAPH-30 %","FAPH-30 Denominator","FAPH-30 Footnote","FAPH-7 %","FAPH-7 Denominator","FAPH-7 Footnote","FAPH Measure Start Date","FAPH Measure End Date","MedCont Measure Desc","MedCont %","MedCont Denominator","MedCont Footnote","MedCont Measure Start Date","MedCont Measure End Date","READM-30-IPF Measure Desc","READM-30-IPF Category","READM-30-IPF Denominator","READM-30-IPF Rate","READM-30-IPF Lower Estimate","READM-30-IPF Higher Estimate","READM-30-IPF Footnote","READM-30-IPF Start Date","READM-30-IPF End Date","IMM-2 Measure Description","IMM-2 %","IMM-2 Denominator","IMM-2 Footnote","Flu Season Start Date","Flu Season End Date"
074016,"Screening for metabolic disorders (SMD)","Not Available","Not Available",5,"Alcohol use brief intervention provided or offered","Not Available","Not Available",5,"Not Available","Not Available",5,"Alcohol and other drug use disorder treatment provided or offered at discharge","Not Available","Not Available",5,"Not Available","Not Available",5,"Tobacco use treatment provided or offered at discharge","Not Available","Not Available",5,"Not Available","Not Available",5,"Transition record with specified elements received by discharged patients (TR1)","Not Available","Not Available",5,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization","Not Available","Not Available",5,"Not Available","Not Available",5,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge","Not Available","Not Available",5,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","Not Available","Not Available","Not Available","Not Available","Not Available",5,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)","Not Available","Not Available",5,10/01/2023,03/31/2024
080001,"Screening for metabolic disorders (SMD)",69,330,,"Alcohol use brief intervention provided or offered",100,75,,100,75,,"Alcohol and other drug use disorder treatment provided or offered at discharge",100,194,,100,194,,"Tobacco use treatment provided or offered at discharge",94,192,,7,192,,"Transition record with specified elements received by discharged patients (TR1)",22,636,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization",74,123,,42.3,123,,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge",88.9,217,,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",283,18.9,15.2,23.0,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",93,308,,10/01/2023,03/31/2024
084001,"Screening for metabolic disorders (SMD)",89,47,,"Alcohol use brief intervention provided or offered","Not Available","Not Available",1,"Not Available","Not Available",1,"Alcohol and other drug use disorder treatment provided or offered at discharge","Not Available","Not Available",1,"Not Available","Not Available",1,"Tobacco use treatment provided or offered at discharge","Not Available","Not Available",1,"Not Available","Not Available",1,"Transition record with specified elements received by discharged patients (TR1)",98,83,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization","Not Available","Not Available",5,"Not Available","Not Available",5,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge","Not Available","Not Available",5,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","Not Available","Not Available","Not Available","Not Available","Not Available",5,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)","Not Available","Not Available",1,10/01/2023,03/31/2024
084002,"Screening for metabolic disorders (SMD)",95,465,,"Alcohol use brief intervention provided or offered",45,121,,51,91,,"Alcohol and other drug use disorder treatment provided or offered at discharge",71,209,,61,209,,"Tobacco use treatment provided or offered at discharge",32,182,,0,182,,"Transition record with specified elements received by discharged patients (TR1)",22,868,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization",42.6,136,,21.3,136,,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge",79.5,273,,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",321,19.7,16.4,23.5,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",25,473,,10/01/2023,03/31/2024
084003,"Screening for metabolic disorders (SMD)",69,452,,"Alcohol use brief intervention provided or offered",77,197,,70,193,,"Alcohol and other drug use disorder treatment provided or offered at discharge",63,225,,49,225,,"Tobacco use treatment provided or offered at discharge",68,209,,0,209,,"Transition record with specified elements received by discharged patients (TR1)",93,775,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization",40.9,176,,20.5,176,,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge","Not Available","Not Available",1,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",421,19.2,16.1,22.6,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",60,373,,10/01/2023,03/31/2024
084004,"Screening for metabolic disorders (SMD)",71,323,,"Alcohol use brief intervention provided or offered",38,216,,66,115,,"Alcohol and other drug use disorder treatment provided or offered at discharge",81,210,,71,210,,"Tobacco use treatment provided or offered at discharge",56,239,,12,239,,"Transition record with specified elements received by discharged patients (TR1)",79,857,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization",52.7,146,,25.3,146,,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge",79.2,236,,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",310,17.6,14.4,21.1,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",21,424,,10/01/2023,03/31/2024
084005,"Screening for metabolic disorders (SMD)",89,398,,"Alcohol use brief intervention provided or offered",100,240,,100,240,,"Alcohol and other drug use disorder treatment provided or offered at discharge",73,341,,45,341,,"Tobacco use treatment provided or offered at discharge",35,330,,0,330,,"Transition record with specified elements received by discharged patients (TR1)",97,754,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization",54.5,143,,36.4,143,,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge",79.2,192,,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",312,19.5,16.0,23.8,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",90,365,,10/01/2023,03/31/2024
090001,"Screening for metabolic disorders (SMD)",78,230,,"Alcohol use brief intervention provided or offered",84,73,,73,73,,"Alcohol and other drug use disorder treatment provided or offered at discharge",60,84,,25,84,,"Tobacco use treatment provided or offered at discharge",50,80,,2,80,,"Transition record with specified elements received by discharged patients (TR1)",1,572,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization","Not Available","Not Available",1,"Not Available","Not Available",1,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge",65.3,95,,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",96,20.2,16.0,25.1,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",88,286,,10/01/2023,03/31/2024
090004,"Screening for metabolic disorders (SMD)",93,107,,"Alcohol use brief intervention provided or offered",54,28,,54,28,,"Alcohol and other drug use disorder treatment provided or offered at discharge",57,37,,54,37,,"Tobacco use treatment provided or offered at discharge",38,13,,31,13,,"Transition record with specified elements received by discharged patients (TR1)",52,331,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization","Not Available","Not Available",5,"Not Available","Not Available",5,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge","Not Available","Not Available",5,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","Not Available","Not Available","Not Available","Not Available","Not Available",5,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",97,150,,10/01/2023,03/31/2024
090005,"Screening for metabolic disorders (SMD)",100,300,,"Alcohol use brief intervention provided or offered",97,78,,97,77,,"Alcohol and other drug use disorder treatment provided or offered at discharge",88,97,,88,97,,"Tobacco use treatment provided or offered at discharge",93,107,,11,107,,"Transition record with specified elements received by discharged patients (TR1)",99,527,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization",74,50,,50,50,,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge","Not Available","Not Available",1,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",111,19.1,14.0,25.8,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",98,271,,10/01/2023,03/31/2024
090011,"Screening for metabolic disorders (SMD)",94,359,,"Alcohol use brief intervention provided or offered",85,20,,100,17,,"Alcohol and other drug use disorder treatment provided or offered at discharge",97,61,,97,61,,"Tobacco use treatment provided or offered at discharge",65,26,,50,26,,"Transition record with specified elements received by discharged patients (TR1)",89,621,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization",25,104,,11.5,104,,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge",61.6,224,,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",254,22.3,18.6,26.3,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",97,310,,10/01/2023,03/31/2024
094001,"Screening for metabolic disorders (SMD)",88,236,,"Alcohol use brief intervention provided or offered",13,155,,38,53,,"Alcohol and other drug use disorder treatment provided or offered at discharge","Not Available","Not Available",1,"Not Available","Not Available",1,"Tobacco use treatment provided or offered at discharge",5,40,,0,40,,"Transition record with specified elements received by discharged patients (TR1)",0,294,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization","Not Available","Not Available",1,"Not Available","Not Available",1,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge","Not Available","Not Available",1,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available",1,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",7,113,,10/01/2023,03/31/2024
094004,"Screening for metabolic disorders (SMD)",56,455,,"Alcohol use brief intervention provided or offered",55,456,,83,290,,"Alcohol and other drug use disorder treatment provided or offered at discharge",81,232,,46,232,,"Tobacco use treatment provided or offered at discharge",71,196,,2,196,,"Transition record with specified elements received by discharged patients (TR1)",62,830,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization",81.8,181,,79,181,,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge",56.1,271,,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",464,20,17.2,23.2,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",80,442,,10/01/2023,03/31/2024
100006,"Screening for metabolic disorders (SMD)",96,628,,"Alcohol use brief intervention provided or offered",38,190,,44,162,,"Alcohol and other drug use disorder treatment provided or offered at discharge",79,495,,79,495,,"Tobacco use treatment provided or offered at discharge",73,354,,73,354,,"Transition record with specified elements received by discharged patients (TR1)",1,1487,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization",38.6,114,,24.6,114,,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge",54.8,301,,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","Worse Than the National Rate",328,28.5,24.7,32.6,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",98,670,,10/01/2023,03/31/2024
100007,"Screening for metabolic disorders (SMD)",92,310,,"Alcohol use brief intervention provided or offered",69,39,,68,38,,"Alcohol and other drug use disorder treatment provided or offered at discharge",79,104,,77,104,,"Tobacco use treatment provided or offered at discharge",52,112,,34,112,,"Transition record with specified elements received by discharged patients (TR1)",40,1035,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization",61.7,107,,39.3,107,,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge",69.5,210,,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","Worse Than the National Rate",291,23.6,19.7,27.8,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",95,491,,10/01/2023,03/31/2024
100022,"Screening for metabolic disorders (SMD)",95,1081,,"Alcohol use brief intervention provided or offered",100,91,,95,91,,"Alcohol and other drug use disorder treatment provided or offered at discharge",99,127,,99,127,,"Tobacco use treatment provided or offered at discharge",79,78,,54,78,,"Transition record with specified elements received by discharged patients (TR1)",96,2070,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization",45.5,187,,27.8,187,,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge",81.4,398,,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","Worse Than the National Rate",461,24.2,21.2,27.5,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",99,1020,,10/01/2023,03/31/2024
100034,"Screening for metabolic disorders (SMD)",77,298,,"Alcohol use brief intervention provided or offered",86,93,,88,90,,"Alcohol and other drug use disorder treatment provided or offered at discharge",99,136,,99,136,,"Tobacco use treatment provided or offered at discharge",79,97,,79,97,,"Transition record with specified elements received by discharged patients (TR1)",18,594,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization",43.3,90,,26.7,90,,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge",59.6,223,,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","Worse Than the National Rate",266,25.6,21.7,29.8,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",98,272,,10/01/2023,03/31/2024
100038,"Screening for metabolic disorders (SMD)",99,339,,"Alcohol use brief intervention provided or offered",100,66,,100,66,,"Alcohol and other drug use disorder treatment provided or offered at discharge",99,89,,99,89,,"Tobacco use treatment provided or offered at discharge",96,79,,96,79,,"Transition record with specified elements received by discharged patients (TR1)",96,601,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization",65,120,,45.8,120,,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge",79.2,240,,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",282,20.7,17.2,24.7,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",100,292,,10/01/2023,03/31/2024
100039,"Screening for metabolic disorders (SMD)",100,334,,"Alcohol use brief intervention provided or offered",100,94,,100,94,,"Alcohol and other drug use disorder treatment provided or offered at discharge",100,290,,100,290,,"Tobacco use treatment provided or offered at discharge",100,278,,76,278,,"Transition record with specified elements received by discharged patients (TR1)",100,638,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization",41.1,129,,23.3,129,,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge",64.5,276,,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","Worse Than the National Rate",325,23.9,20.4,27.8,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",100,316,,10/01/2023,03/31/2024
100045,"Screening for metabolic disorders (SMD)",100,145,,"Alcohol use brief intervention provided or offered",98,254,,99,252,,"Alcohol and other drug use disorder treatment provided or offered at discharge",98,305,,98,305,,"Tobacco use treatment provided or offered at discharge",79,278,,79,278,,"Transition record with specified elements received by discharged patients (TR1)",88,660,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization","Not Available","Not Available",1,"Not Available","Not Available",1,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge","Not Available","Not Available",1,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",54,19.7,14.4,26.1,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",99,328,,10/01/2023,03/31/2024
100047,"Screening for metabolic disorders (SMD)",95,205,,"Alcohol use brief intervention provided or offered",68,31,,57,28,,"Alcohol and other drug use disorder treatment provided or offered at discharge",53,45,,44,45,,"Tobacco use treatment provided or offered at discharge",48,33,,27,33,,"Transition record with specified elements received by discharged patients (TR1)",60,350,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization",72,82,,41.5,82,,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge",72.3,310,,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","Worse Than the National Rate",388,24.7,20.8,28.7,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",93,157,,10/01/2023,03/31/2024
100067,"Screening for metabolic disorders (SMD)","Not Available","Not Available",5,"Alcohol use brief intervention provided or offered","Not Available","Not Available",5,"Not Available","Not Available",5,"Alcohol and other drug use disorder treatment provided or offered at discharge","Not Available","Not Available",5,"Not Available","Not Available",5,"Tobacco use treatment provided or offered at discharge","Not Available","Not Available",5,"Not Available","Not Available",5,"Transition record with specified elements received by discharged patients (TR1)","Not Available","Not Available",5,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization","Not Available","Not Available",5,"Not Available","Not Available",5,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge","Not Available","Not Available",5,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","Not Available","Not Available","Not Available","Not Available","Not Available",5,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)","Not Available","Not Available",5,10/01/2023,03/31/2024
100080,"Screening for metabolic disorders (SMD)",96,496,,"Alcohol use brief intervention provided or offered","Not Available","Not Available",1,"Not Available","Not Available",1,"Alcohol and other drug use disorder treatment provided or offered at discharge","Not Available","Not Available",1,"Not Available","Not Available",1,"Tobacco use treatment provided or offered at discharge","Not Available","Not Available",1,"Not Available","Not Available",1,"Transition record with specified elements received by discharged patients (TR1)",0,1044,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization",59.9,207,,32.4,207,,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge",66.4,342,,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",507,19.5,16.6,22.8,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",97,606,,10/01/2023,03/31/2024
100087,"Screening for metabolic disorders (SMD)",90,202,,"Alcohol use brief intervention provided or offered",46,103,,94,50,,"Alcohol and other drug use disorder treatment provided or offered at discharge",96,113,,76,113,,"Tobacco use treatment provided or offered at discharge",86,86,,2,86,,"Transition record with specified elements received by discharged patients (TR1)",98,613,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization",58.7,155,,32.9,155,,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge",67.8,295,,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",422,20.4,17.5,23.6,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",96,305,,10/01/2023,03/31/2024
100088,"Screening for metabolic disorders (SMD)",83,235,,"Alcohol use brief intervention provided or offered",26,78,,59,32,,"Alcohol and other drug use disorder treatment provided or offered at discharge",97,262,,97,262,,"Tobacco use treatment provided or offered at discharge",89,162,,69,162,,"Transition record with specified elements received by discharged patients (TR1)",17,671,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization",66.3,83,,38.6,83,,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge",78.7,94,,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","Worse Than the National Rate",156,26.8,21.6,32.4,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",89,322,,10/01/2023,03/31/2024
100093,"Screening for metabolic disorders (SMD)",93,223,,"Alcohol use brief intervention provided or offered",93,83,,100,77,,"Alcohol and other drug use disorder treatment provided or offered at discharge",100,183,,100,183,,"Tobacco use treatment provided or offered at discharge",92,177,,86,177,,"Transition record with specified elements received by discharged patients (TR1)",83,742,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization",27.7,137,,14.6,137,,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge",65.9,132,,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",251,18.9,15.2,23.3,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",99,361,,10/01/2023,03/31/2024
100105,"Screening for metabolic disorders (SMD)",65,211,,"Alcohol use brief intervention provided or offered",56,39,,51,37,,"Alcohol and other drug use disorder treatment provided or offered at discharge",52,69,,17,69,,"Tobacco use treatment provided or offered at discharge",21,42,,17,42,,"Transition record with specified elements received by discharged patients (TR1)",27,673,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization",55.6,117,,28.2,117,,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge",70.1,201,,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","Worse Than the National Rate",275,24.8,20.5,29.5,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",97,312,,10/01/2023,03/31/2024
100110,"Screening for metabolic disorders (SMD)",94,162,,"Alcohol use brief intervention provided or offered","Not Available","Not Available",1,"Not Available","Not Available",1,"Alcohol and other drug use disorder treatment provided or offered at discharge","Not Available","Not Available",1,"Not Available","Not Available",1,"Tobacco use treatment provided or offered at discharge","Not Available","Not Available",1,"Not Available","Not Available",1,"Transition record with specified elements received by discharged patients (TR1)",0,400,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization","Not Available","Not Available",1,"Not Available","Not Available",1,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge",59.2,103,,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",97,21.8,17.3,26.9,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",99,327,,10/01/2023,03/31/2024
100113,"Screening for metabolic disorders (SMD)",77,243,,"Alcohol use brief intervention provided or offered",89,284,,84,274,,"Alcohol and other drug use disorder treatment provided or offered at discharge",99,320,,81,320,,"Tobacco use treatment provided or offered at discharge",78,236,,38,236,,"Transition record with specified elements received by discharged patients (TR1)",78,817,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization",62.1,211,,34.6,211,,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge",76,204,,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",439,20.8,17.6,24.1,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",97,400,,10/01/2023,03/31/2024
100131,"Screening for metabolic disorders (SMD)",97,341,,"Alcohol use brief intervention provided or offered","Not Available","Not Available",7,"Not Available","Not Available",7,"Alcohol and other drug use disorder treatment provided or offered at discharge","Not Available","Not Available",7,"Not Available","Not Available",7,"Tobacco use treatment provided or offered at discharge","Not Available","Not Available",7,"Not Available","Not Available",7,"Transition record with specified elements received by discharged patients (TR1)",0,711,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization",98.8,82,,97.6,82,,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge",67,215,,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","Worse Than the National Rate",234,25.4,21.7,29.5,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",97,344,,10/01/2023,03/31/2024
